team,assists,turnovers,points,wins,games_played,rebounds,steals,plus_minus,AST_TO_RATIO,PTS_PER_GAME,WIN_PERCENTAGE
Atlanta Hawks,19.21,13.52,92.79,4.36,10.0,40.46,6.55,-4.1,1.42,92.79,0.44
Boston Celtics,20.64,14.42,96.09,6.47,12.59,41.49,7.17,-2.12,1.43,96.09,0.51
Brooklyn Nets,21.25,13.08,103.48,3.0,7.67,41.95,6.73,-5.0,1.62,103.48,0.39
Charlotte Bobcats,20.05,15.25,88.75,0.0,4.0,38.15,4.9,-9.55,1.31,88.75,0.0
Charlotte Hornets,17.63,12.1,94.03,4.33,8.67,42.07,7.73,-0.87,1.46,94.03,0.5
Chicago Bulls,20.36,14.28,95.43,3.55,8.27,43.4,6.35,-2.66,1.43,95.43,0.43
Cleveland Cavaliers,19.4,13.32,98.67,10.78,16.89,42.27,6.66,3.31,1.46,98.67,0.64
Dallas Mavericks,18.99,12.86,100.95,4.41,9.47,42.54,6.73,-3.35,1.48,100.95,0.47
Denver Nuggets,20.43,12.86,100.27,3.23,8.23,42.53,6.99,-3.71,1.59,100.27,0.39
Detroit Pistons,19.7,12.55,89.58,7.3,13.8,39.31,6.84,-2.78,1.57,89.58,0.53
Golden State Warriors,24.34,14.84,108.81,11.38,16.88,43.75,7.96,4.58,1.64,108.81,0.67
Houston Rockets,18.45,14.65,99.17,4.46,9.46,43.05,7.27,-2.69,1.26,99.17,0.47
Indiana Pacers,19.27,14.52,92.61,3.8,8.67,40.93,7.45,-2.38,1.33,92.61,0.44
LA Clippers,20.78,12.1,107.26,4.8,10.2,41.86,7.42,-0.32,1.72,107.26,0.47
Los Angeles Clippers,20.48,13.84,101.58,5.2,11.2,40.8,7.54,-0.58,1.48,101.58,0.46
Los Angeles Lakers,19.89,13.84,98.35,9.0,14.36,42.9,6.96,-0.71,1.44,98.35,0.63
Memphis Grizzlies,18.48,12.69,94.45,2.73,7.27,39.97,7.37,-7.62,1.46,94.45,0.38
Miami Heat,18.62,14.55,94.27,7.87,13.4,39.69,6.87,-2.7,1.28,94.27,0.59
Milwaukee Bucks,21.28,13.73,97.48,4.58,9.33,41.51,7.58,-3.51,1.55,97.48,0.49
Minnesota Timberwolves,19.64,14.38,95.6,2.8,7.2,44.24,6.32,-6.48,1.37,95.6,0.39
New Jersey Nets,21.58,14.95,93.08,7.17,13.0,41.95,7.45,-1.02,1.44,93.08,0.55
New Orleans Hornets,18.92,14.36,88.7,3.0,7.2,38.82,6.9,-6.48,1.32,88.7,0.42
New Orleans Pelicans,25.1,13.95,105.4,2.5,6.5,43.8,7.8,-4.4,1.8,105.4,0.38
New York Knicks,16.37,14.73,88.7,1.67,5.83,40.28,7.1,-7.13,1.11,88.7,0.29
Oklahoma City Thunder,18.63,14.11,101.96,5.7,11.4,44.47,7.11,-1.53,1.32,101.96,0.5
Orlando Magic,18.47,13.8,94.04,3.45,8.0,40.95,6.09,-4.34,1.34,94.04,0.43
Philadelphia 76ers,20.24,13.49,95.42,4.33,9.42,42.32,7.41,-3.07,1.5,95.42,0.46
Phoenix Suns,20.95,13.15,101.69,6.62,12.38,41.49,6.89,0.34,1.59,101.69,0.54
Portland Trail Blazers,18.74,13.3,99.71,2.21,6.64,42.21,6.37,-6.84,1.41,99.71,0.33
Sacramento Kings,19.72,13.88,100.22,5.0,9.83,42.63,7.7,-1.52,1.42,100.22,0.51
San Antonio Spurs,19.98,12.84,97.82,7.89,13.37,41.72,6.82,1.59,1.56,97.82,0.59
Seattle SuperSonics,16.8,12.2,92.35,4.0,8.0,40.25,5.25,-5.95,1.38,92.35,0.5
Toronto Raptors,20.47,13.34,97.45,5.0,10.36,40.46,7.23,-2.93,1.54,97.45,0.48
Utah Jazz,21.6,14.12,98.96,3.31,8.23,42.96,7.15,-4.32,1.53,98.96,0.4
Washington Wizards,20.03,12.84,100.29,3.33,7.89,41.59,6.98,-2.84,1.56,100.29,0.42
